Task ID,Book,Lane,Sequential,Depends On,Title,Commit Message,File Ceiling,Line Ceiling,Status
CR-V2-B1-001,1,S,true,Pinned CutRight baseline,Freeze the v2 baseline and corpus date,CR-V2-B1-001: freeze-the-v2-baseline-and-corpus-date,1,220,not_started
CR-V2-B1-002,1,S,true,CR-V2-B1-001,Create the machine-readable source corpus schema and manifest,CR-V2-B1-002: create-the-machine-readable-source-corpus-schema-and-manif,8,1400,not_started
CR-V2-B1-003,1,S,true,CR-V2-B1-002,Define the licence and disposition ledger contract,CR-V2-B1-003: define-the-licence-and-disposition-ledger-contract,8,1400,not_started
CR-V2-B1-004,1,S,true,CR-V2-B1-003,Implement the transitive source-closure scanner,CR-V2-B1-004: implement-the-transitive-source-closure-scanner,10,1800,not_started
CR-V2-B1-005,1,S,true,CR-V2-B1-004,"Add hard guards for no CI, no submodules, no path lookup, and no external runtime",CR-V2-B1-005: add-hard-guards-for-no-ci-no-submodules-no-path-lookup-and,8,1400,not_started
CR-V2-B1-006,1,S,true,CR-V2-B1-005,Freeze Book 1 import interfaces and lane ownership,CR-V2-B1-006: freeze-book-1-import-interfaces-and-lane-ownership,8,1400,not_started
CR-V2-B1-007,1,P-A,false,CR-V2-B1-006,Vendor the complete Designer closure into CutRight,CR-V2-B1-007: vendor-the-complete-designer-closure-into-cutright,1200,250000,not_started
CR-V2-B1-008,1,P-A,false,CR-V2-B1-007,Rewrite Designer to the CutRight-local skill and action model,CR-V2-B1-008: rewrite-designer-to-the-cutright-local-skill-and-action-mo,1200,250000,not_started
CR-V2-B1-009,1,P-A,false,CR-V2-B1-008,Vendor and adapt Brand and Brand Identity,CR-V2-B1-009: vendor-and-adapt-brand-and-brand-identity,200,60000,not_started
CR-V2-B1-010,1,P-A,false,CR-V2-B1-009,Vendor and adapt the selected Content production closure,CR-V2-B1-010: vendor-and-adapt-the-selected-content-production-closure,900,180000,not_started
CR-V2-B1-011,1,P-A,false,CR-V2-B1-010,"Vendor and adapt Writing, Social, and QA closures",CR-V2-B1-011: vendor-and-adapt-writing-social-and-qa-closures,700,140000,not_started
CR-V2-B1-012,1,P-B,false,CR-V2-B1-006,Vendor the pinned HeardRight source needed by CutRight,CR-V2-B1-012: vendor-the-pinned-heardright-source-needed-by-cutright,2500,350000,not_started
CR-V2-B1-013,1,P-B,false,CR-V2-B1-012,"Resolve HeardRight model, dictionary, and runtime-asset provenance",CR-V2-B1-013: resolve-heardright-model-dictionary-and-runtime-asset-prov,8,1400,not_started
CR-V2-B1-014,1,P-B,false,CR-V2-B1-013,Materialize the supplied Cutaway and Finish artefacts as provenance,CR-V2-B1-014: materialize-the-supplied-cutaway-and-finish-artefacts-as-p,80,30000,not_started
CR-V2-B1-015,1,P-B,false,CR-V2-B1-014,Adapt the permitted Vox Director material,CR-V2-B1-015: adapt-the-permitted-vox-director-material,180,50000,not_started
CR-V2-B1-016,1,P-B,false,CR-V2-B1-015,Write clean-room AutoShorts behavior specifications,CR-V2-B1-016: write-clean-room-autoshorts-behavior-specifications,20,6000,not_started
CR-V2-B1-017,1,P-C,false,CR-V2-B1-006,Write clean-room Palmier behavior specifications,CR-V2-B1-017: write-clean-room-palmier-behavior-specifications,24,8000,not_started
CR-V2-B1-018,1,P-C,false,CR-V2-B1-017,Adapt the workspace bounded-run compiler and monitor concepts,CR-V2-B1-018: adapt-the-workspace-bounded-run-compiler-and-monitor-conce,60,12000,not_started
CR-V2-B1-019,1,P-C,false,CR-V2-B1-018,"Adapt skill topology, catalogue integrity, and evaluation fixtures",CR-V2-B1-019: adapt-skill-topology-catalogue-integrity-and-evaluation-fi,100,25000,not_started
