Task ID,Book,Lane,Sequential,Depends On,Title,Commit Message,File Ceiling,Line Ceiling,Status,Commit SHA,Notes
CR-V2-B1-001,1,S,true,Pinned CutRight baseline,Freeze the v2 baseline and corpus date,CR-V2-B1-001: freeze-the-v2-baseline-and-corpus-date,1,220,done,0963e7de711c9830858b1fe6b6c65915d23c7763,
CR-V2-B1-002,1,S,true,CR-V2-B1-001,Create the machine-readable source corpus schema and manifest,CR-V2-B1-002: create-the-machine-readable-source-corpus-schema-and-manif,8,1400,done,101c200f97001efaa642e56e1f70136f49140435,
CR-V2-B1-003,1,S,true,CR-V2-B1-002,Define the licence and disposition ledger contract,CR-V2-B1-003: define-the-licence-and-disposition-ledger-contract,8,1400,done,9aa97df5a4e289c37bf14ad31a8dd0f058e633d6,
CR-V2-B1-004,1,S,true,CR-V2-B1-003,Implement the transitive source-closure scanner,CR-V2-B1-004: implement-the-transitive-source-closure-scanner,10,1800,done,81b4b35c0b43dc33ddf8994edc95206a35f2d30c,
CR-V2-B1-005,1,S,true,CR-V2-B1-004,"Add hard guards for no CI, no submodules, no path lookup, and no external runtime",CR-V2-B1-005: add-hard-guards-for-no-ci-no-submodules-no-path-lookup-and,8,1400,done,021a70b06f326b81fa27ee1b60d05f34d043c3c9,
CR-V2-B1-006,1,S,true,CR-V2-B1-005,Freeze Book 1 import interfaces and lane ownership,CR-V2-B1-006: freeze-book-1-import-interfaces-and-lane-ownership,8,1400,done,7a0576becadd2df572805bc6f9993a53e494f221,
CR-V2-B1-007,1,P-A,false,CR-V2-B1-006,Vendor the complete Designer closure into CutRight,CR-V2-B1-007: vendor-the-complete-designer-closure-into-cutright,1200,250000,done,fd4f2e87b0da9b3aaf873e3c9d217abdbfd82628,
CR-V2-B1-008,1,P-A,false,CR-V2-B1-007,Rewrite Designer to the CutRight-local skill and action model,CR-V2-B1-008: rewrite-designer-to-the-cutright-local-skill-and-action-mo,1200,250000,done,d0a9e0eda0a4468bf6526128a76585a34bda871b,
CR-V2-B1-009,1,P-A,false,CR-V2-B1-008,Vendor and adapt Brand and Brand Identity,CR-V2-B1-009: vendor-and-adapt-brand-and-brand-identity,200,60000,done,105b529236dc73f0a6844e4edcf760a6baeae434,
CR-V2-B1-010,1,P-A,false,CR-V2-B1-009,Vendor and adapt the selected Content production closure,CR-V2-B1-010: vendor-and-adapt-the-selected-content-production-closure,900,180000,done,68675527eb56bfbda13bbdd1b88c90a0d37e3a09,
CR-V2-B1-011,1,P-A,false,CR-V2-B1-010,"Vendor and adapt Writing, Social, and QA closures",CR-V2-B1-011: vendor-and-adapt-writing-social-and-qa-closures,700,140000,done,173ceab61995f9884a4ca57cf213016562becc71,
CR-V2-B1-012,1,P-B,false,CR-V2-B1-006,Vendor the pinned HeardRight source needed by CutRight,CR-V2-B1-012: vendor-the-pinned-heardright-source-needed-by-cutright,2500,350000,done,82a892282c137bda075fdd4704c004c9206bfd99,
CR-V2-B1-013,1,P-B,false,CR-V2-B1-012,"Resolve HeardRight model, dictionary, and runtime-asset provenance",CR-V2-B1-013: resolve-heardright-model-dictionary-and-runtime-asset-prov,8,1400,done,f3da7a7abe165046fd823203b8bf96d487c66268,
